  She should ask a few native Americans what their take on this is , CAG
            Followed All    u2763 Look forward to you following back Thank you  and have a wonderful day  , NAG
  The suicide rate in America is similar to other countries that have strict gun controlThey use other  the UK jumping from cliffs and bridges is a common method , NAG
  Are you joining ANTIFA , NAG
   Apparently durbin has amnesia , NAG
  Canada has regulated firearms since the last quarter of the th century Those laws have probably contributed to Canada having only  as many handguns in circulation as in the US   , NAG
    i have heard he is making waves , OAG
  Itu2019s Anita Hill versus Clarence Thomas all over again I hope this confirmation process has the same end result    , NAG
   Boi if you dont , NAG
 rd time in my teacher career that Iu2019ve had a parent tell me that heshe is praying for me I always consider that a win     , NAG
  you are most welcome  , NAG
   Funny watching these liberals all of a sudden do a  on being transparent  Warner had no problems with leaks  Now when the truth is out he has issues    Its over  Some people are in big trouble  Warner is likely one of them , NAG
  Brown like you , NAG
            You ladies always make me smileif you know what I mean  , NAG
  FUCK liberals Forever , OAG
  Did you have to scalp Custer  , NAG
  Once again its been proven that all gun control laws are intended to disarm the law abiding citizens and subvert the  Criminal dont care about gun laws , OAG
     Nothing abusive should ever be done to anyone  Including the women and people of this country she is putting under horrible stress worrying about what she is going to do  This should have been an easy NO from her if she is who she says she is  And I agree with you Gabby , NAG
   Mxm nigger thinks we give a fuck  , OAG
   She is a fake Vote her out Now she wants sympathy , OAG
   Ask Antifa  Which one they like and respect , NAG
 kids from different women from this American jobless men Nigerian men you are the bomb , OAG
  By banning ammunition guns are still legal Why not instate gun control to keep   watch on all firearms , NAG
    Dont have anything to do with Trump or any conservatives Refuse to trade with them in business , NAG
    got him signing my bookhe is a cute  , NAG
  This Russian agent is a DISGRACE Hey old creep  you are going to die in prison You and Trump sold America to the Russians and itu2019s time you do the time for your years of crimes Scumbag , OAG
   Wow more Salinsky tactics , NAG
  What insanely ridiculous bullshit , CAG
  Nhs is only the way it is because we have a over populated country  Conservatives have privertised were nhs buys from , NAG
  We shouldnu2019t be surprised These same pigs worked with neonazis to unmask antifa protestors And the local coverage by shit journos like  didnu2019t cover that AT ALL We had to rely on  for investigative coverage  , OAG
   Gun control anyone  , NAG
   Iu2019m not for gun controlpractice reading comprehension first , NAG
   I am beginning to believe that all liberals are sociopaths None of the people here believe in rule of law You have to have evidence of a crime to go any further  , NAG
   Because  of Americans are too lazy to vote  Nonvoters skew liberal And too many liberals who do vote throw their vote away on rd party losers Next question , OAG
  I cant wait to see his MAGA tat across his chest with a picture of Mueller , NAG
   Im sure he doesnt call his gated communitys private security firm Bull Connors though Its funny Now liberals LOVE privatization of police , OAG
   Wonder how many children he molested , OAG
   You are amazing I admire you so much for always being able to raise above the ugliness and hatred You show us what grace is , NAG
   Oh you are in England  Your views on gun control stopped mattering in  , OAG
       This is the ANTIFA party and all of a sudden they expect us to believe they care about anyone besides themselves Nope , OAG
 Antifa Caught Off Guard After Getting Confronted By The Last Person They  via  , NAG
  Ouch , CAG
   Wonder if he apologized to Diamond and Silk for calling them a u201cminstrel showu201d  He should have been fired but there he is making faces , OAG
  Which is why itu2019s awesome that Kavanaugh didnu2019t shake that gun control dads hand  Sorry for kid was killed by a gun but itu2019s not the future judges fault it happened omg white people in cities are silly , OAG
  John Podesta is a spirit cooking pedo Heres a photo of him and Valerie Jarrett in a rather compromising situation       , OAG
   Somebodys terrified  What will happen when the  public knows the  about what youve been doing         , NAG
  I love the way this pisses off liberals  , OAG
  Was I bet you are still into Sloaneshe is pretty awesome , NAG
    My auto correct Gggrrr she is a crazy witch , OAG
   When I turned the speech on it sounded to me like Liberals becoming another nasty party with his personal attacks on various individuals , OAG
  crap andor            like       or      and  used as a weapon   Missed anything  maybe    , NAG
  Who she thinks she is to talk to a referee like that and expect everyone to support her Or treat her specially , NAG
  Another negative Democrat who refuses to disappear , OAG
  As my elected MP could you please explain why  is still promoting ideas that the EU have already rejected Weve  months to go and nothing appears to be moving onward  are like the blind leading the blind    , OAG
  Getting out of the Paris Climate Agreement is what m voters wanted Obama committed us to B towards that agreement We keep paying for the third world countries and we are going broke It does not help when places like Cal have m illegals either , NAG
  Heu2019s gonna tip him two new assholes , NAG
  So she canu2019t be effected by the radiation but killed I hope he mentions Lady Gaga witch Since she is the only known immortal witch and supreme , OAG
  He Mike  what country are you living in my country is a Constitutional REPUBLIC not a democracy , NAG
  election season  Trump my dick is the most magnificent dick Just tremendous   Leftists prove it you Russian puppet  Trump whips dick out in fit of senility  Conservatives vote Trump to victory , OAG
     The Problem of the One and the Many in Gun Control   , NAG
     Interesting when Demoncraps arent even inventive enough to create their own cartoons  This is originally put out by Republicans  liberals are the Koolaide drinkers and always have been Liberals are also the scum of the earth and prove it daily through their lies , OAG
